Image Name,Channel,Spot Name,Signal,Total,Area,Bkgnd.,Type
0001205_02,Chemi,H10,35681.75,37349.25,145,11.5,Signal
0001205_02,Chemi,H11,19115.6875,20783.1875,145,11.5,Signal
0001205_02,Chemi,H12,3830.5625,5498.0625,145,11.5,Signal
0001205_02,Chemi,H13,10309.4375,11976.9375,145,11.5,Signal
0001205_02,Chemi,H14,238.90625,1906.40625,145,11.5,Signal
0001205_02,Chemi,H15,674.3671875,2341.867188,145,11.5,Signal
0001205_02,Chemi,H16,14690.25,16357.75,145,11.5,Signal
0001205_02,Chemi,H17,32310.625,33978.125,145,11.5,Signal
0001205_02,Chemi,H18,26840.375,28507.875,145,11.5,Signal
0001205_02,Chemi,I01,36049.125,37716.625,145,11.5,Signal
0001205_02,Chemi,I02,29766.75,31434.25,145,11.5,Signal
0001205_02,Chemi,I03,50938.25,52605.75,145,11.5,Signal
0001205_02,Chemi,I04,40085.125,41752.625,145,11.5,Signal
0001205_02,Chemi,I05,39188.875,40856.375,145,11.5,Signal
0001205_02,Chemi,I06,6328.625,7996.125,145,11.5,Signal
0001205_02,Chemi,I07,37945.875,39613.375,145,11.5,Signal
0001205_02,Chemi,I08,10615.6875,12283.1875,145,11.5,Signal
0001205_02,Chemi,I09,22218.8125,23886.3125,145,11.5,Signal
0001205_02,Chemi,I10,32818.625,34486.125,145,11.5,Signal
0001205_02,Chemi,I11,24300.125,25967.625,145,11.5,Signal
0001205_02,Chemi,I12,3467.703125,5135.203125,145,11.5,Signal
0001205_02,Chemi,I13,9413.25,11080.75,145,11.5,Signal
0001205_02,Chemi,I14,1649.859375,3317.359375,145,11.5,Signal
0001205_02,Chemi,I15,14168.125,15835.625,145,11.5,Signal
0001205_02,Chemi,I16,20247.5,21915,145,11.5,Signal
0001205_02,Chemi,I17,12142.75,13810.25,145,11.5,Signal
0001205_02,Chemi,I18,19848.125,21515.625,145,11.5,Signal
0001205_02,Chemi,J01,24276.5625,25944.0625,145,11.5,Signal
0001205_02,Chemi,J02,17895.9375,19563.4375,145,11.5,Signal
0001205_02,Chemi,J03,41198.5,42866,145,11.5,Signal
0001205_02,Chemi,J04,27462.25,29129.75,145,11.5,Signal
0001205_02,Chemi,J05,54338.25,56005.75,145,11.5,Signal
0001205_02,Chemi,J06,6086.84375,7754.34375,145,11.5,Signal
0001205_02,Chemi,J07,27119.25,28786.75,145,11.5,Signal
0001205_02,Chemi,J08,4655.9375,6323.4375,145,11.5,Signal
0001205_02,Chemi,J09,17172.125,18839.625,145,11.5,Signal
0001205_02,Chemi,J10,33706,35373.5,145,11.5,Signal
0001205_02,Chemi,J11,36873.375,38540.875,145,11.5,Signal
0001205_02,Chemi,J12,5663.0625,7330.5625,145,11.5,Signal
0001205_02,Chemi,J13,10676.59375,12344.09375,145,11.5,Signal
0001205_02,Chemi,J14,851.1484375,2518.648438,145,11.5,Signal
0001205_02,Chemi,J15,7730.125,9397.625,145,11.5,Signal
0001205_02,Chemi,J16,21748,23415.5,145,11.5,Signal
0001205_02,Chemi,J17,1750.75,3418.25,145,11.5,Signal
0001205_02,Chemi,J18,0,1667.5,145,11.5,Background
0001205_02,Chemi,K01,24217,25884.5,145,11.5,Signal
0001205_02,Chemi,K02,17705.5,19373,145,11.5,Signal
0001205_02,Chemi,K03,27029.875,28697.375,145,11.5,Signal
0001205_02,Chemi,K04,23496.625,25164.125,145,11.5,Signal
0001205_02,Chemi,K05,28091.75,29759.25,145,11.5,Signal
0001205_02,Chemi,K06,5315.84375,6983.34375,145,11.5,Signal
0001205_02,Chemi,K07,26359.125,28026.625,145,11.5,Signal
0001205_02,Chemi,K08,3862.53125,5530.03125,145,11.5,Signal
0001205_02,Chemi,K09,16306,17973.5,145,11.5,Signal
0001205_02,Chemi,K10,42210.25,43877.75,145,11.5,Signal
0001205_02,Chemi,K11,36737.875,38405.375,145,11.5,Signal
0001205_02,Chemi,K12,4107.890625,5775.390625,145,11.5,Signal
